day,date,time_cet,platform,product,niche,format,hook,caption,hashtags,code,lang,video_file,link
14,2026-06-29,12:00,"TikTok,Instagram,YouTube Shorts,Threads",Initialen-Ring A-Z,Schmuck/Personalisiert,try-on,Adjustable for any finger,316L hypoallergenic - fits any size. -10% WELCOME10 - link in bio.,#initialring #dainty #jewelry #personalized #luxestyle,WELCOME10,en,initialen_ring_a_z_tryon_3.mp4,https://luxestyle.com.co
14,2026-06-29,17:30,"TikTok,Instagram,YouTube Shorts,Threads",Rain Cloud Aroma Diffuser,US/Summer,night,Best night-light upgrade,7 night-light colors + mist for better sleep. -10% WELCOME10 - link in bio.,#nightlight #diffuser #cozyhome #sleep #luxestyle,WELCOME10,en,rain_cloud_aroma_diffuser_night_3.mp4,https://luxestyle.com.co
14,2026-06-29,20:00,"TikTok,Instagram,YouTube Shorts,Threads",Sunset Projection Lamp,US/Summer,content,Why creators love this lamp,The lamp behind those warm aesthetic reels. -10% WELCOME10 - link in bio.,#contentcreator #sunsetlamp #aesthetic #lighting #luxestyle,WELCOME10,en,sunset_projection_lamp_content_3.mp4,https://luxestyle.com.co
15,2026-06-30,12:00,"TikTok,Instagram,YouTube Shorts,Threads",LED Mirror Clock,US/Summer,gift,Clean gift under CHF 30,Sleek mirror clock - easy clean gift. -10% WELCOME10 - link in bio.,#giftidea #ledclock #minimalist #desk #luxestyle,WELCOME10,en,led_mirror_clock_gift_3.mp4,https://luxestyle.com.co
15,2026-06-30,17:30,"TikTok,Instagram,YouTube Shorts,Threads",Phone Makeover Set,US/Summer,grip,MagSafe grip you actually use,Secure grip + MagSafe - daily essential. -10% WELCOME10 - link in bio.,#magsafe #phonegrip #phoneaccessories #tech #luxestyle,WELCOME10,en,phone_makeover_set_grip_3.mp4,https://luxestyle.com.co
15,2026-06-30,20:00,"TikTok,Instagram,YouTube Shorts,Threads",Straw Beach Tote,US/Summer,styling,3 ways to style a straw tote,3 ways to style the summer it-bag. -10% WELCOME10 - link in bio.,#strawbag #styling #summerstyle #ootd #luxestyle,WELCOME10,en,straw_beach_tote_styling_3.mp4,https://luxestyle.com.co
16,2026-07-01,12:00,"TikTok,Instagram,YouTube Shorts,Threads",Ultraschall-Reinigungsgeraet,Tech/Home,gift,Praktisches Geschenk,Reinigt Brillen Ringe Uhren - tolles Geschenk. -10% WELCOME10 - Link in Bio.,#geschenk #ultraschallreiniger #reinigung #tech #luxestyle,WELCOME10,de,ultraschall_reinigungsgeraet_gift_3.mp4,https://luxestyle.com.co
16,2026-07-01,17:30,"TikTok,Instagram,YouTube Shorts,Threads",Ringlicht 26cm mit Stativ,Tech/Creator,demo,3 Lichtstufen fuer jeden Look,3 Lichtfarben verstellbar - perfekt fuer Selfies. -10% WELCOME10 - Link in Bio.,#ringlicht #selfie #content #beleuchtung #luxestyle,WELCOME10,de,ringlicht_26cm_mit_stativ_demo_3.mp4,https://luxestyle.com.co
16,2026-07-01,20:00,"TikTok,Instagram,YouTube Shorts,Threads",Akupressur-Ringe Set,Wellness,gift,Kleines Wellness-Geschenk,5er-Set Akupressur-Ringe - guenstiges Wellness-Geschenk. -10% WELCOME10 - Link in Bio.,#wellnessgeschenk #akupressur #selfcare #recovery #luxestyle,WELCOME10,de,akupressur_ringe_set_gift_3.mp4,https://luxestyle.com.co
17,2026-07-02,12:00,"TikTok,Instagram,YouTube Shorts,Threads",Signet-Ring Edelstahl matt,Herren-Schmuck,close-up,Der Ring-Trend 2026 fuer Maenner,Siegelring matt gebuerstet - das Statement-Piece 2026 fuer ihn. -10% mit WELCOME10 - Link in Bio.,#herrenschmuck #siegelring #mensfashion #edelstahl #luxestyle,WELCOME10,de,signet_ring_edelstahl_matt_closeup_1.mp4,https://luxestyle.com.co
17,2026-07-02,17:30,"TikTok,Instagram,YouTube Shorts,Threads",Herren-Siegelring schwarz-silber,Herren-Schmuck,close-up,Maskulin und alltagstauglich,Klassischer Siegelring 316L - markant kratzfest alltagstauglich. -10% WELCOME10 - Link in Bio.,#herrenring #siegelring #mensaccessories #edelstahl #luxestyle,WELCOME10,de,herren_siegelring_schwarz_si_closeup_1.mp4,https://luxestyle.com.co
17,2026-07-02,20:00,"TikTok,Instagram,YouTube Shorts,Threads",Plain Band Ring gebuerstet,Herren-Schmuck,minimal,Der minimalistische Klassiker,6mm Comfort-Fit gebuerstet - schlicht robust zeitlos. -10% WELCOME10 - Link in Bio.,#bandring #minimalist #herrenring #edelstahl #luxestyle,WELCOME10,de,plain_band_ring_gebuerstet_minimal_1.mp4,https://luxestyle.com.co
18,2026-07-03,12:00,"TikTok,Instagram,YouTube Shorts,Threads",Leder-Schluesselanhaenger Gravur,Herren/Geschenk,engraving,Das Geschenk das Charakter bekommt,Echtes Leder mit deiner Gravur - wird mit den Jahren schoener. -10% WELCOME10 - Link in Bio.,#geschenkfuerihn #leder #personalisiert #gravur #luxestyle,WELCOME10,de,leder_schluesselanhaenger_gr_engraving_1.mp4,https://luxestyle.com.co
18,2026-07-03,17:30,"TikTok,Instagram,YouTube Shorts,Threads",Smart Ring Titan,Tech/Wearable,demo,A smartwatch on your finger,Track sleep heart-rate steps - no screen no wrist. -10% WELCOME10 - link in bio.,#smartring #wearabletech #sleeptracker #gadgets #luxestyle,WELCOME10,en,smart_ring_titan_demo_1.mp4,https://luxestyle.com.co
18,2026-07-03,20:00,"TikTok,Instagram,YouTube Shorts,Threads",Waterproof Gold Jewelry Set,Schmuck,try-on,Jewelry that survives the pool,Gold that never turns green - even in the pool. -10% WELCOME10 - link in bio.,#waterproofjewelry #goldjewelry #layering #summerstyle #luxestyle,WELCOME10,en,waterproof_gold_jewelry_set_tryon_1.mp4,https://luxestyle.com.co
19,2026-07-04,12:00,"TikTok,Instagram,YouTube Shorts,Threads",Stacking-Ring Mix-Metall,Schmuck,styling,Mixed-metal stacking the right way,Stack gold and silver the right way. -10% WELCOME10 - link in bio.,#stackingrings #mixedmetals #jewelrytrend #styling #luxestyle,WELCOME10,en,stacking_ring_mix_metall_styling_1.mp4,https://luxestyle.com.co
19,2026-07-04,17:30,"TikTok,Instagram,YouTube Shorts,Threads",Initialen-Ring A-Z,Schmuck/Personalisiert,personalize,Your initial your ring,Pick your initial - adjustable gold or silver. -10% WELCOME10 - link in bio.,#initialring #personalized #jewelrygift #dainty #luxestyle,WELCOME10,en,initialen_ring_a_z_personalize_1.mp4,https://luxestyle.com.co
19,2026-07-04,20:00,"TikTok,Instagram,YouTube Shorts,Threads",Rain Cloud Aroma Diffuser,US/Summer,asmr,This cloud actually rains,This cloud literally rains - calmest corner of my home. -10% WELCOME10 - link in bio.,#raincloud #aromadiffuser #asmr #cozyhome #luxestyle,WELCOME10,en,rain_cloud_aroma_diffuser_asmr_1.mp4,https://luxestyle.com.co
20,2026-07-05,12:00,"TikTok,Instagram,YouTube Shorts,Threads",Sunset Projection Lamp,US/Summer,pov,POV golden hour in your room,POV: golden hour any time of day. -10% WELCOME10 - link in bio.,#sunsetlamp #roomaesthetic #cozyhome #fyp #luxestyle,WELCOME10,en,sunset_projection_lamp_pov_1.mp4,https://luxestyle.com.co
20,2026-07-05,17:30,"TikTok,Instagram,YouTube Shorts,Threads",LED Mirror Clock,US/Summer,desk-setup,The desk detail everyone asks about,The desk detail everyone asks about - minimal LED. -10% WELCOME10 - link in bio.,#desksetup #ledclock #minimalist #aesthetic #luxestyle,WELCOME10,en,led_mirror_clock_desksetup_1.mp4,https://luxestyle.com.co
20,2026-07-05,20:00,"TikTok,Instagram,YouTube Shorts,Threads",Phone Makeover Set,US/Summer,makeover,Phone glow-up in 10 seconds,Phone glow-up in 10 seconds - which charm is your fave? -10% WELCOME10 - link in bio.,#phonemakeover #phonecharms #magsafe #fyp #luxestyle,WELCOME10,en,phone_makeover_set_makeover_1.mp4,https://luxestyle.com.co
21,2026-07-06,12:00,"TikTok,Instagram,YouTube Shorts,Threads",Straw Beach Tote,US/Summer,outfit,The only bag this summer,The only bag I'm bringing this summer. -10% WELCOME10 - link in bio.,#strawbag #beachbag #ootd #summeroutfit #luxestyle,WELCOME10,en,straw_beach_tote_outfit_1.mp4,https://luxestyle.com.co
21,2026-07-06,17:30,"TikTok,Instagram,YouTube Shorts,Threads",Ultraschall-Reinigungsgeraet,Tech/Home,satisfying,So sauber war deine Brille nie,Porentief sauber in 5 Min - Brillen Schmuck Uhren. -10% WELCOME10 - Link in Bio.,#ultraschallreiniger #satisfying #cleantok #gadget #luxestyle,WELCOME10,de,ultraschall_reinigungsgeraet_satisfying_1.mp4,https://luxestyle.com.co
21,2026-07-06,20:00,"TikTok,Instagram,YouTube Shorts,Threads",Ringlicht 26cm mit Stativ,Tech/Creator,setup,Dein Content-Setup-Upgrade,26cm Ringlicht + Stativ - Glow-up fuer Reels und Calls. -10% WELCOME10 - Link in Bio.,#ringlicht #contentcreator #setup #beleuchtung #luxestyle,WELCOME10,de,ringlicht_26cm_mit_stativ_setup_1.mp4,https://luxestyle.com.co
22,2026-07-07,12:00,"TikTok,Instagram,YouTube Shorts,Threads",Akupressur-Ringe Set,Wellness,demo,60 Sekunden Entspannung,Akupressur-Ringe - Entspannung an den Fingern in Sekunden. -10% WELCOME10 - Link in Bio.,#akupressur #wellness #recovery #selfcare #luxestyle,WELCOME10,de,akupressur_ringe_set_demo_1.mp4,https://luxestyle.com.co
22,2026-07-07,17:30,"TikTok,Instagram,YouTube Shorts,Threads",Signet-Ring Edelstahl matt,Herren-Schmuck,how-to-wear,So traegt man(n) einen Siegelring,Siegelring richtig stylen - unisex und alltagstauglich. -10% WELCOME10 - Link in Bio.,#siegelring #mensstyle #ringstack #howtowear #luxestyle,WELCOME10,de,signet_ring_edelstahl_matt_howtowear_2.mp4,https://luxestyle.com.co
22,2026-07-07,20:00,"TikTok,Instagram,YouTube Shorts,Threads",Herren-Siegelring schwarz-silber,Herren-Schmuck,gift,Das perfekte Geschenk fuer ihn,Statement-Ring fuer ihn - perfektes Geschenk. -10% WELCOME10 - Link in Bio.,#geschenkfuerihn #herrenschmuck #mensgift #ring #luxestyle,WELCOME10,de,herren_siegelring_schwarz_si_gift_2.mp4,https://luxestyle.com.co
23,2026-07-08,12:00,"TikTok,Instagram,YouTube Shorts,Threads",Plain Band Ring gebuerstet,Herren-Schmuck,stack,Ring-Stacking fuer Maenner,Plain Band als Basis fuers Stacking. -10% WELCOME10 - Link in Bio.,#ringstack #mensjewelry #minimal #bandring #luxestyle,WELCOME10,de,plain_band_ring_gebuerstet_stack_2.mp4,https://luxestyle.com.co
23,2026-07-08,17:30,"TikTok,Instagram,YouTube Shorts,Threads",Leder-Schluesselanhaenger Gravur,Herren/Geschenk,unboxing,Unboxing: personalisiertes Geschenk,Vollnarbenleder + Gravur in Geschenkbox. -10% WELCOME10 - Link in Bio.,#unboxing #geschenk #leder #personalisiert #luxestyle,WELCOME10,de,leder_schluesselanhaenger_gr_unboxing_2.mp4,https://luxestyle.com.co
23,2026-07-08,20:00,"TikTok,Instagram,YouTube Shorts,Threads",Smart Ring Titan,Tech/Wearable,review,2 weeks with a smart ring,Honest review: recovery insights without a wrist gadget. -10% WELCOME10 - link in bio.,#smartring #review #biohacking #wearable #luxestyle,WELCOME10,en,smart_ring_titan_review_2.mp4,https://luxestyle.com.co
24,2026-07-09,12:00,"TikTok,Instagram,YouTube Shorts,Threads",Waterproof Gold Jewelry Set,Schmuck,layering,Summer layering that lasts,18K gold layering that lasts all season. -10% WELCOME10 - link in bio.,#layering #goldjewelry #summerstyle #jewelry #luxestyle,WELCOME10,en,waterproof_gold_jewelry_set_layering_2.mp4,https://luxestyle.com.co
24,2026-07-09,17:30,"TikTok,Instagram,YouTube Shorts,Threads",Stacking-Ring Mix-Metall,Schmuck,haul,Build your ring stack,Mix-and-match stacking rings haul. -10% WELCOME10 - link in bio.,#ringstack #jewelryhaul #dainty #trend #luxestyle,WELCOME10,en,stacking_ring_mix_metall_haul_2.mp4,https://luxestyle.com.co
24,2026-07-09,20:00,"TikTok,Instagram,YouTube Shorts,Threads",Initialen-Ring A-Z,Schmuck/Personalisiert,gift,The perfect little gift,Personalized initial ring - perfect gift idea. -10% WELCOME10 - link in bio.,#jewelrygift #initialring #personalized #giftidea #luxestyle,WELCOME10,en,initialen_ring_a_z_gift_2.mp4,https://luxestyle.com.co
25,2026-07-10,12:00,"TikTok,Instagram,YouTube Shorts,Threads",Rain Cloud Aroma Diffuser,US/Summer,before-after,Turn your room into a spa,Turn your room into a spa in one step. -10% WELCOME10 - link in bio.,#roomtransformation #aromadiffuser #cozyhome #fyp #luxestyle,WELCOME10,en,rain_cloud_aroma_diffuser_beforeafter_2.mp4,https://luxestyle.com.co
25,2026-07-10,17:30,"TikTok,Instagram,YouTube Shorts,Threads",Sunset Projection Lamp,US/Summer,grwm,GRWM in golden-hour light,GRWM with golden-hour lighting in any room. -10% WELCOME10 - link in bio.,#grwm #sunsetlamp #goldenhour #fyp #luxestyle,WELCOME10,en,sunset_projection_lamp_grwm_2.mp4,https://luxestyle.com.co
